Epoch,Train Loss,Train Accuracy,Train F1-Score,Test Loss,Test Accuracy,Test F1-Score
1,0.25936906673421245,92.03833333333333,0.9203619925472017,0.05832844533407661,98.15,0.981473545472557
2,0.06930642538326187,97.965,0.9796488248832191,0.05340000447636751,98.41,0.9840924474057566
3,0.051882816050305904,98.51666666666667,0.9851663992635918,0.062246088443577374,97.91,0.9791016773580015
4,0.044188802854206635,98.735,0.9873493591717042,0.029760247601839155,99.0,0.9899977373341787
5,0.0399710930824808,98.81666666666666,0.9881665735207295,0.02670341340664853,99.19,0.9919013801656438
6,0.03698800991217396,98.91666666666667,0.9891662400199782,0.02881368501637714,99.16,0.9915978293581628
7,0.03219684146335416,99.035,0.9903504394054059,0.02933071244502748,99.11,0.9910884497755015
8,0.026702573055926028,99.205,0.9920498721022439,0.02703856545360773,99.21,0.9920946258705035
9,0.02573257876063,99.25166666666667,0.992516679251783,0.03658997560734695,98.87,0.9886903069322749
10,0.024179795145725574,99.30333333333333,0.9930333345984514,0.017749087933433792,99.39,0.9938978849735558
11,0.02053638616358543,99.41833333333334,0.9941833480718526,0.03253352694269463,99.01,0.9900928536892272
12,0.01901590030160042,99.45,0.994499807898013,0.025358335262192895,99.39,0.9939012796817808
13,0.015713146742330406,99.53166666666667,0.9953166423368368,0.023672255937525376,99.35,0.9935003820422215
14,0.016284695794682655,99.53833333333333,0.9953836229101963,0.028373794596509447,99.36,0.9936019794914491
15,0.012594950200654358,99.61833333333334,0.9961831807371382,0.02953407339447738,99.31,0.993102685107672
16,0.0132589813909567,99.63333333333334,0.996333382307486,0.02229904741681638,99.39,0.9939017691190466
17,0.004175251014406253,99.87833333333333,0.9987834281645415,0.014258619176850548,99.56,0.995599490606147
18,0.0025478736000910896,99.92166666666667,0.9992166707144412,0.014862766161389125,99.56,0.9955993369591831
19,0.0014706302358765823,99.955,0.9995500151216932,0.01572495823319669,99.56,0.9955993573484906
20,0.0012294136961237424,99.95666666666666,0.9995666785362688,0.015294806026032738,99.62,0.9961994201104554
