Epoch,Train Loss,Train Accuracy,Train F1-Score,Test Loss,Test Accuracy,Test F1-Score
1,3.550783917727068,20.01,0.20025035927822787,2.2742794919165834,39.71,0.3786453996354115
2,2.146460531465233,42.318,0.4164680918990895,1.822871063165604,49.92,0.4953547913116998
3,1.78962711635453,50.576,0.5013295938957627,1.6473549551265254,54.35,0.5411800678225342
4,1.5491693956620247,56.608,0.5626177839054871,1.5187697888939244,57.85,0.5736351954040163
5,1.3805128829863371,60.678,0.604234931088414,1.4374756835828162,59.77,0.5972658037469483
6,1.2307943316066967,64.144,0.6394858533055618,1.3594483634468857,61.78,0.616939451854319
7,1.0990798920011886,67.53,0.6737106479263982,1.3479779336103208,62.84,0.6255251084603904
8,0.9876576149097794,70.498,0.7036820888930954,1.3532925673351166,62.41,0.6247769368248088
9,0.8809765586843881,73.594,0.7350145152856477,1.3202810477299296,63.72,0.6388565869153555
10,0.8000926120049509,75.938,0.7586850874535447,1.331661826486041,64.07,0.6406162381379835
11,0.7240304807796503,77.888,0.7783018416471438,1.3322247764107529,65.25,0.6554330572890166
12,0.6464326270782125,80.186,0.8014382381563387,1.3899205323237522,65.25,0.6513013149224623
13,0.5865211644593407,81.768,0.8173792496690861,1.3753441093833583,65.24,0.6540877459671375
14,0.5301659026223681,83.282,0.8324895730166861,1.4197059850783864,65.34,0.653285157315986
15,0.478057354250375,84.874,0.8485578934672185,1.4933302281009164,64.94,0.6520615135297798
16,0.44395081378767254,86.032,0.8602198785240114,1.5008903622247611,65.7,0.6596917267013908
17,0.4083159689974907,87.076,0.8707063263673753,1.493404170510116,65.68,0.6565328288898209
18,0.3687450142334337,88.182,0.88175837100822,1.5127981973301834,66.0,0.6590579237321889
19,0.3485819099428099,88.758,0.8875425893963629,1.5440847205508286,65.93,0.66002453323317
20,0.31685702025394913,89.838,0.8983113003605306,1.627664393680111,65.11,0.6525410746063736
21,0.20272735207129622,93.57,0.9357394988261448,1.4851108683142693,68.82,0.6881582957727773
22,0.15863784188952515,95.014,0.9501450628445849,1.4865285689663734,68.84,0.6887833923716233
23,0.14176113674860172,95.522,0.955207772082823,1.5543832406876192,68.69,0.6876841837929313
24,0.12852119573432466,95.93,0.9592980940059801,1.5816357640703773,68.87,0.6891337179944741
25,0.11608959110144078,96.312,0.9631176133432889,1.5906424822321363,68.97,0.6907351229343727
26,0.10615107206010814,96.67,0.9667032891891144,1.599982819549597,69.01,0.6903166473873165
27,0.10061797331018216,96.856,0.9685471483952562,1.6539914440956844,69.16,0.6923724123067868
28,0.09659139208895776,96.89,0.9688990218266632,1.665889516757552,69.03,0.6907838971169886
29,0.08692964239408026,97.262,0.9726230882143511,1.664698041548395,69.37,0.6946198209550476
30,0.08676857360438599,97.194,0.9719327067802364,1.6973248108936723,68.84,0.6893327564530659
31,0.07989080008024069,97.45,0.9744973000539123,1.7216364103517714,69.27,0.6940835809950318
32,0.07155448700184636,97.72,0.9771962253963854,1.7142886826946477,69.41,0.6944797409246509
33,0.06674616892769684,97.87,0.9787028340116197,1.7206959694054476,69.27,0.6935988744824505
